Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,28600,"28,400.00","28,800.00","28,050.00",17.74M,1.24%
5/30/2024,28250,"28,500.00","28,550.00","28,000.00",27.26M,-1.22%
5/29/2024,28600,"29,100.00","29,250.00","28,600.00",21.60M,-1.89%
5/28/2024,29150,"29,000.00","29,200.00","28,800.00",17.56M,0.87%
5/27/2024,28900,"28,900.00","29,300.00","28,650.00",15.76M,0.00%
5/24/2024,28900,"29,300.00","29,500.00","28,500.00",30.15M,-2.03%
5/23/2024,29500,"28,850.00","29,500.00","28,600.00",37.87M,3.67%
5/22/2024,28455,"28,955.00","29,045.00","28,318.00",43.76M,-1.73%
5/21/2024,28955,"29,091.00","29,091.00","28,591.00",22.95M,-0.47%
5/20/2024,29091,"28,773.00","29,227.00","28,727.00",51.14M,1.27%
5/17/2024,28727,"28,727.00","28,727.00","28,318.00",31.51M,0.00%
5/16/2024,28727,"28,727.00","28,955.00","28,591.00",30.14M,1.28%
5/15/2024,28364,"27,500.00","28,500.00","27,500.00",49.62M,3.31%
5/14/2024,27455,"27,636.00","27,909.00","27,364.00",17.23M,0.00%
5/13/2024,27455,"27,773.00","27,864.00","27,364.00",14.49M,-0.82%
5/10/2024,27682,"27,818.00","27,864.00","27,227.00",20.88M,0.00%
5/9/2024,27682,"28,091.00","28,091.00","27,318.00",21.37M,-0.81%
5/8/2024,27909,"27,409.00","28,182.00","27,045.00",37.72M,1.82%
5/7/2024,27409,"26,727.00","27,455.00","26,591.00",33.15M,2.90%
5/6/2024,26636,"26,227.00","26,682.00","26,182.00",29.82M,2.27%
5/3/2024,26045,"25,773.00","26,455.00","25,773.00",18.39M,1.06%
5/2/2024,25773,"25,818.00","25,818.00","25,500.00",8.05M,-0.17%
4/26/2024,25818,"25,727.00","25,955.00","25,500.00",20.13M,-0.53%
4/25/2024,25955,"26,091.00","26,091.00","25,727.00",12.36M,-0.87%
4/24/2024,26182,"25,364.00","26,318.00","25,227.00",25.36M,4.35%
4/23/2024,25091,"25,455.00","25,500.00","24,955.00",20.20M,-1.43%
4/22/2024,25455,"25,636.00","25,636.00","25,318.00",13.63M,0.72%
4/19/2024,25273,"25,273.00","25,773.00","25,000.00",28.75M,-0.71%
4/17/2024,25455,"25,909.00","25,955.00","25,364.00",17.13M,-1.23%
4/16/2024,25773,"25,909.00","25,955.00","25,318.00",36.77M,-0.52%
4/15/2024,25909,"27,136.00","27,227.00","25,545.00",34.22M,-4.84%
4/12/2024,27227,"27,273.00","27,364.00","27,136.00",15.31M,0.17%
4/11/2024,27182,"26,773.00","27,409.00","26,773.00",21.17M,0.84%
4/10/2024,26955,"27,227.00","27,364.00","26,955.00",12.25M,-0.84%
4/9/2024,27182,"26,909.00","27,182.00","26,864.00",10.82M,1.01%
4/8/2024,26909,"26,773.00","27,091.00","26,636.00",18.38M,0.51%
4/5/2024,26773,"26,773.00","27,045.00","26,591.00",26.42M,-0.51%
4/4/2024,26909,"27,227.00","27,318.00","26,864.00",29.01M,-1.17%
4/3/2024,27227,"27,591.00","27,682.00","27,227.00",23.64M,-1.48%
4/2/2024,27636,"27,182.00","27,636.00","27,091.00",28.93M,0.99%
4/1/2024,27364,"27,455.00","27,591.00","27,227.00",22.84M,-0.49%
3/29/2024,27500,"27,818.00","27,818.00","27,500.00",16.30M,-0.98%
3/28/2024,27773,"28,045.00","28,045.00","27,682.00",21.03M,-0.16%
3/27/2024,27818,"28,091.00","28,273.00","27,818.00",26.76M,0.16%
3/26/2024,27773,"27,455.00","27,773.00","27,364.00",13.17M,1.16%
3/25/2024,27455,"27,773.00","28,136.00","27,318.00",23.49M,-1.14%
3/22/2024,27773,"27,591.00","27,909.00","27,455.00",41.12M,0.99%
3/21/2024,27500,"27,591.00","27,773.00","27,364.00",21.97M,0.83%
3/20/2024,27273,"27,136.00","27,364.00","27,045.00",14.27M,0.67%
3/19/2024,27091,"26,818.00","27,818.00","26,727.00",29.67M,0.68%
3/18/2024,26909,"27,409.00","27,455.00","26,364.00",55.11M,-1.66%
3/15/2024,27364,"27,591.00","27,909.00","27,273.00",39.41M,-0.82%
3/14/2024,27591,"28,091.00","28,091.00","27,500.00",33.85M,-1.46%
3/13/2024,28000,"27,455.00","28,045.00","27,364.00",32.30M,1.99%
3/12/2024,27455,"27,136.00","27,636.00","27,091.00",33.15M,1.00%
3/11/2024,27182,"27,545.00","27,818.00","27,091.00",33.46M,-1.32%
3/8/2024,27545,"28,182.00","28,227.00","27,500.00",52.05M,-2.26%
3/7/2024,28182,"27,909.00","28,500.00","27,818.00",35.49M,0.65%
3/6/2024,28000,"28,273.00","28,318.00","27,727.00",30.87M,-1.12%
3/5/2024,28318,"28,000.00","28,455.00","27,909.00",32.91M,1.14%
3/4/2024,28000,"28,182.00","28,545.00","27,909.00",31.44M,-0.16%
3/1/2024,28045,"28,364.00","28,364.00","27,864.00",29.65M,-0.49%
2/29/2024,28182,"27,955.00","28,318.00","27,727.00",36.94M,1.31%
2/28/2024,27818,"27,636.00","28,136.00","27,409.00",38.72M,0.82%
2/27/2024,27591,"26,273.00","27,682.00","26,182.00",95.53M,5.38%
2/26/2024,26182,"25,818.00","26,182.00","25,727.00",21.14M,1.41%
2/23/2024,25818,"25,955.00","26,227.00","25,818.00",30.03M,-0.53%
