Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,24400,"24,500.00","24,700.00","24,300.00",4.89M,0.21%
5/30/2024,24350,"24,400.00","24,650.00","24,150.00",6.99M,-1.62%
5/29/2024,24750,"25,250.00","25,600.00","24,750.00",8.00M,-1.20%
5/28/2024,25050,"25,250.00","25,250.00","24,850.00",4.43M,0.60%
5/27/2024,24900,"24,600.00","24,900.00","24,600.00",4.31M,0.40%
5/24/2024,24800,"25,600.00","25,800.00","24,150.00",12.11M,-3.13%
5/23/2024,25600,"24,800.00","25,600.00","24,700.00",8.42M,2.81%
5/22/2024,24900,"25,100.00","25,350.00","24,550.00",8.62M,-0.40%
5/21/2024,25000,"25,050.00","25,150.00","24,700.00",7.03M,-0.79%
5/20/2024,25200,"25,200.00","25,700.00","24,900.00",11.40M,1.61%
5/17/2024,24800,"24,600.00","24,800.00","24,200.00",6.19M,1.02%
5/16/2024,24550,"24,800.00","24,950.00","24,400.00",5.05M,0.20%
5/15/2024,24500,"24,050.00","24,700.00","24,050.00",7.61M,1.87%
5/14/2024,24050,"24,100.00","24,300.00","23,900.00",3.52M,0.21%
5/13/2024,24000,"24,000.00","24,500.00","23,800.00",7.36M,0.42%
5/10/2024,23900,"23,900.00","23,900.00","23,350.00",4.56M,0.63%
5/9/2024,23750,"24,000.00","24,050.00","23,550.00",4.59M,0.00%
5/8/2024,23750,"23,500.00","24,150.00","22,950.00",8.65M,0.85%
5/7/2024,23550,"23,400.00","23,800.00","23,200.00",6.17M,0.64%
5/6/2024,23400,"23,200.00","23,750.00","22,950.00",7.37M,2.63%
5/3/2024,22800,"22,800.00","23,200.00","22,600.00",5.92M,0.44%
5/2/2024,22700,"22,200.00","22,800.00","21,850.00",4.19M,3.65%
4/26/2024,21900,"21,800.00","22,400.00","21,550.00",4.58M,-0.45%
4/25/2024,22000,"22,350.00","22,400.00","21,800.00",4.57M,-1.57%
4/24/2024,22350,"21,750.00","22,500.00","21,650.00",6.44M,4.93%
4/23/2024,21300,"22,900.00","22,900.00","21,300.00",8.11M,-6.78%
4/22/2024,22850,"22,500.00","22,900.00","22,250.00",5.58M,4.10%
4/19/2024,21950,"22,500.00","23,200.00","21,950.00",12.11M,-4.57%
4/17/2024,23000,"23,800.00","24,100.00","23,000.00",8.46M,-2.75%
4/16/2024,23650,"24,050.00","24,250.00","22,900.00",10.34M,-1.66%
4/15/2024,24050,"25,700.00","26,350.00","24,050.00",19.27M,-6.96%
4/12/2024,25850,"25,900.00","25,950.00","25,600.00",6.56M,0.39%
4/11/2024,25750,"24,400.00","25,950.00","24,400.00",9.93M,3.83%
4/10/2024,24800,"25,200.00","25,200.00","24,800.00",3.05M,-1.20%
4/9/2024,25100,"24,600.00","25,100.00","24,600.00",3.88M,2.03%
4/8/2024,24600,"24,500.00","25,000.00","24,350.00",4.89M,0.61%
4/5/2024,24450,"24,800.00","25,150.00","24,450.00",10.30M,-2.78%
4/4/2024,25150,"25,350.00","25,600.00","25,150.00",6.78M,-1.37%
4/3/2024,25500,"26,250.00","26,250.00","25,500.00",8.56M,-2.49%
4/2/2024,26150,"25,500.00","26,200.00","25,200.00",10.51M,1.55%
4/1/2024,25750,"25,550.00","25,750.00","25,300.00",7.18M,0.39%
3/29/2024,25650,"26,050.00","26,100.00","25,600.00",6.19M,-1.72%
3/28/2024,26100,"26,100.00","26,200.00","25,750.00",6.88M,0.38%
3/27/2024,26000,"26,450.00","26,750.00","25,900.00",11.72M,0.00%
3/26/2024,26000,"25,300.00","26,000.00","25,000.00",7.79M,2.77%
3/25/2024,25300,"25,600.00","26,300.00","25,100.00",11.82M,-0.78%
3/22/2024,25500,"25,600.00","25,900.00","24,850.00",17.50M,0.59%
3/21/2024,25350,"25,350.00","26,150.00","25,100.00",16.71M,0.80%
3/20/2024,25150,"25,200.00","25,200.00","24,800.00",7.79M,-0.20%
3/19/2024,25200,"23,950.00","25,350.00","23,650.00",29.22M,6.33%
3/18/2024,23700,"24,650.00","24,700.00","22,900.00",10.74M,-3.07%
3/15/2024,24450,"24,000.00","24,700.00","23,750.00",10.66M,1.66%
3/14/2024,24050,"24,300.00","24,350.00","23,900.00",6.97M,-0.62%
3/13/2024,24200,"23,500.00","24,400.00","23,450.00",10.83M,2.98%
3/12/2024,23500,"23,600.00","23,750.00","23,500.00",6.01M,-0.42%
3/11/2024,23600,"23,950.00","23,950.00","23,450.00",6.99M,-1.46%
3/8/2024,23950,"24,700.00","24,700.00","23,950.00",13.92M,-2.44%
3/7/2024,24550,"24,600.00","24,750.00","24,300.00",7.82M,-0.20%
3/6/2024,24600,"24,650.00","24,750.00","24,200.00",8.10M,-0.20%
3/5/2024,24650,"24,500.00","24,900.00","24,300.00",11.43M,0.82%
3/4/2024,24450,"24,400.00","24,950.00","24,300.00",16.30M,1.24%
3/1/2024,24150,"24,000.00","24,200.00","23,800.00",5.94M,0.84%
2/29/2024,23950,"24,250.00","24,250.00","23,800.00",8.67M,-0.83%
2/28/2024,24150,"24,100.00","24,300.00","23,900.00",6.53M,0.21%
2/27/2024,24100,"23,850.00","24,550.00","23,800.00",11.22M,1.69%
2/26/2024,23700,"23,350.00","23,850.00","23,250.00",7.55M,1.50%
2/23/2024,23350,"23,850.00","24,100.00","23,350.00",10.10M,-1.89%
2/22/2024,23800,"24,050.00","24,200.00","23,800.00",7.75M,-1.04%
2/21/2024,24050,"24,450.00","24,450.00","24,000.00",8.48M,-1.03%
2/20/2024,24300,"24,550.00","24,550.00","24,250.00",6.17M,-0.61%
