Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,21800,"21,700.00","21,900.00","21,450.00",6.02M,1.16%
5/30/2024,21550,"21,500.00","21,800.00","21,350.00",7.18M,-1.37%
5/29/2024,21850,"22,200.00","22,400.00","21,750.00",10.03M,-0.91%
5/28/2024,22050,"22,150.00","22,150.00","21,900.00",7.26M,0.23%
5/27/2024,22000,"21,500.00","22,000.00","21,400.00",6.74M,2.09%
5/24/2024,21550,"22,100.00","22,500.00","21,250.00",14.43M,-3.58%
5/23/2024,22350,"21,950.00","22,350.00","21,850.00",14.56M,1.82%
5/22/2024,21950,"21,850.00","22,250.00","21,600.00",15.58M,0.69%
5/21/2024,21800,"21,800.00","21,950.00","21,500.00",7.11M,-0.68%
5/20/2024,21950,"22,000.00","22,150.00","21,800.00",11.47M,0.46%
5/17/2024,21850,"21,500.00","21,850.00","21,300.00",8.79M,1.63%
5/16/2024,21500,"21,550.00","21,700.00","21,450.00",11.87M,1.42%
5/15/2024,21200,"20,900.00","21,400.00","20,900.00",10.13M,1.68%
5/14/2024,20850,"21,100.00","21,200.00","20,800.00",5.14M,-0.71%
5/13/2024,21000,"20,700.00","21,200.00","20,700.00",11.01M,1.69%
5/10/2024,20650,"20,450.00","20,750.00","20,250.00",6.80M,1.23%
5/9/2024,20400,"20,900.00","21,050.00","20,400.00",8.71M,-1.21%
5/8/2024,20650,"20,400.00","20,950.00","20,100.00",7.92M,0.73%
5/7/2024,20500,"20,500.00","20,700.00","20,300.00",5.95M,0.49%
5/6/2024,20400,"20,300.00","20,600.00","20,100.00",6.78M,2.00%
5/3/2024,20000,"20,000.00","20,250.00","19,850.00",6.73M,1.01%
5/2/2024,19800,"19,400.00","19,900.00","19,350.00",3.91M,2.06%
4/26/2024,19400,"19,400.00","19,700.00","19,250.00",3.70M,-1.02%
4/25/2024,19600,"19,700.00","19,700.00","19,400.00",3.27M,-0.25%
4/24/2024,19650,"19,500.00","19,900.00","19,300.00",6.09M,3.42%
