"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","30,850.0","31,200.0","31,200.0","30,650.0","26.96M","-0.48%"
"02/29/2024","31,000.0","30,750.0","31,150.0","30,500.0","33.58M","1.31%"
"02/28/2024","30,600.0","30,400.0","30,950.0","30,150.0","35.20M","0.82%"
"02/27/2024","30,350.0","28,900.0","30,450.0","28,800.0","86.84M","5.38%"
"02/26/2024","28,800.0","28,400.0","28,800.0","28,300.0","19.22M","1.05%"
"02/23/2024","28,500.0","28,550.0","28,850.0","28,400.0","27.30M","-0.18%"
"02/22/2024","28,550.0","28,700.0","28,800.0","28,550.0","22.41M","-0.87%"
"02/21/2024","28,800.0","29,100.0","29,150.0","28,700.0","31.58M","-1.37%"
"02/20/2024","29,200.0","29,200.0","29,350.0","29,050.0","21.39M","0.00%"
"02/19/2024","29,200.0","28,650.0","29,400.0","28,450.0","42.28M","2.10%"
"02/16/2024","28,600.0","28,750.0","28,800.0","28,600.0","16.72M","-0.35%"
"02/15/2024","28,700.0","28,300.0","28,900.0","28,250.0","36.99M","1.95%"
"02/07/2024","28,150.0","28,050.0","28,300.0","28,050.0","13.81M","0.36%"
"02/06/2024","28,050.0","28,150.0","28,250.0","28,000.0","14.66M","0.18%"
"02/05/2024","28,000.0","27,900.0","28,300.0","27,900.0","16.23M","0.36%"
"02/02/2024","27,900.0","27,700.0","28,100.0","27,700.0","14.16M","0.18%"
"02/01/2024","27,850.0","27,750.0","28,100.0","27,700.0","10.64M","0.36%"
"01/31/2024","27,750.0","27,950.0","28,100.0","27,750.0","24.46M","-0.89%"
"01/30/2024","28,000.0","28,000.0","28,100.0","27,850.0","17.53M","0.00%"
"01/29/2024","28,000.0","28,350.0","28,400.0","28,000.0","21.58M","-1.23%"
"01/26/2024","28,350.0","28,400.0","28,500.0","28,250.0","14.37M","0.35%"
"01/25/2024","28,250.0","28,250.0","28,400.0","28,000.0","15.23M","0.00%"
"01/24/2024","28,250.0","28,300.0","28,500.0","28,250.0","16.14M","-0.35%"
"01/23/2024","28,350.0","28,450.0","28,500.0","28,250.0","21.68M","0.18%"
"01/22/2024","28,300.0","28,000.0","28,650.0","27,850.0","66.07M","1.80%"
"01/19/2024","27,800.0","27,750.0","27,900.0","27,600.0","14.86M","0.54%"
"01/18/2024","27,650.0","27,700.0","27,850.0","27,600.0","12.64M","0.00%"
"01/17/2024","27,650.0","27,850.0","27,950.0","27,650.0","23.41M","-0.54%"
"01/16/2024","27,800.0","27,100.0","27,800.0","27,050.0","19.77M","2.58%"
"01/15/2024","27,100.0","27,200.0","27,450.0","27,100.0","12.50M","-0.18%"
"01/12/2024","27,150.0","27,350.0","27,450.0","27,050.0","28.63M","-1.27%"
"01/11/2024","27,500.0","27,450.0","27,650.0","27,400.0","15.26M","0.55%"
"01/10/2024","27,350.0","27,700.0","27,750.0","27,250.0","32.64M","-1.26%"
"01/09/2024","27,700.0","27,900.0","27,950.0","27,500.0","28.62M","-0.54%"
"01/08/2024","27,850.0","27,950.0","28,250.0","27,850.0","31.24M","0.18%"
"01/05/2024","27,800.0","27,750.0","27,900.0","27,550.0","17.33M","0.18%"
"01/04/2024","27,750.0","27,800.0","28,100.0","27,700.0","38.54M","-0.18%"
"01/03/2024","27,800.0","27,400.0","27,800.0","27,400.0","18.58M","1.28%"
"01/02/2024","27,450.0","28,100.0","28,150.0","27,450.0","22.19M","-1.79%"
"12/29/2023","27,950.0","27,950.0","28,100.0","27,800.0","20.47M","0.00%"
