Date;Price;Open;High;Low;Vol.;Change %
03/01/2024;24.150;24.000;24.200;23.800;5.94M;0,84%
02/29/2024;23.950;24.250;24.250;23.800;8.67M;-0,83%
02/28/2024;24.150;24.100;24.300;23.900;6.53M;0,21%
02/27/2024;24.100;23.850;24.550;23.800;11.22M;1,69%
02/26/2024;23.700;23.350;23.850;23.250;7.55M;1,07%
02/23/2024;23.450;23.850;24.100;23.350;10.10M;-1,47%
02/22/2024;23.800;24.050;24.200;23.800;7.75M;-1,04%
02/21/2024;24.050;24.450;24.450;24.000;8.48M;-1,03%
02/20/2024;24.300;24.550;24.550;24.250;6.17M;-0,61%
02/19/2024;24.450;24.700;25.000;24.150;11.08M;-0,61%
02/16/2024;24.600;24.750;24.900;24.550;5.65M;-0,61%
02/15/2024;24.750;24.700;25.100;24.500;8.19M;1,64%
02/07/2024;24.350;24.400;24.500;24.250;4.39M;0,41%
02/06/2024;24.250;24.400;24.600;24.250;6.22M;-0,21%
02/05/2024;24.300;24.350;24.700;24.250;10.44M;0,21%
02/02/2024;24.250;23.800;24.500;23.800;7.90M;1,04%
02/01/2024;24.000;24.150;24.350;23.900;8.92M;-0,83%
01/31/2024;24.200;24.850;24.850;24.200;19.54M;-3,20%
01/30/2024;25.000;24.700;25.050;24.500;6.77M;1,01%
01/29/2024;24.750;25.400;25.500;24.750;9.14M;-2,56%
01/26/2024;25.400;25.300;25.450;25.100;4.77M;0,79%
01/25/2024;25.200;24.850;25.450;24.600;6.99M;1,41%
01/24/2024;24.850;25.050;25.250;24.850;5.56M;-1,00%
01/23/2024;25.100;25.300;25.300;24.900;5.24M;-0,40%
01/22/2024;25.200;25.150;25.800;25.000;13.04M;1,00%
01/19/2024;24.950;25.200;25.350;24.800;6.87M;-0,99%
01/18/2024;25.200;24.950;25.500;24.700;11.29M;1,41%
01/17/2024;24.850;25.100;25.200;24.600;12.45M;-0,20%
01/16/2024;24.900;23.200;24.900;23.200;20.22M;6,87%
01/15/2024;23.300;23.600;23.650;23.000;3.85M;-0,21%
01/12/2024;23.350;23.150;23.800;23.100;7.29M;-0,64%
01/11/2024;23.500;23.250;23.500;23.250;5.29M;1,73%
01/10/2024;23.100;23.450;23.600;22.950;11.13M;-2,12%
01/09/2024;23.600;23.950;23.950;23.250;12.46M;-1,05%
01/08/2024;23.850;24.150;24.400;23.850;8.02M;-1,04%
01/05/2024;24.100;23.900;24.200;23.800;7.60M;0,00%
01/04/2024;24.100;24.200;24.450;23.800;9.05M;-0,41%
01/03/2024;24.200;23.750;24.200;23.600;6.13M;1,89%
01/02/2024;23.750;24.700;24.800;23.750;10.52M;-3,65%
12/29/2023;24.650;24.600;24.650;24.450;5.50M;0,41%
12/28/2023;24.550;24.100;24.750;24.050;9.25M;1,87%
12/27/2023;24.100;24.450;24.550;24.100;6.71M;-0,41%
12/26/2023;24.200;24.200;24.400;23.900;9.48M;0,41%
