"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","23,450.0","23,300.0","23,850.0","23,300.0","4.23M","-0.21%"
"06/06/2024","23,500.0","23,300.0","24,000.0","23,100.0","15.96M","1.51%"
"06/05/2024","23,150.0","23,250.0","23,450.0","23,000.0","12.37M","0.00%"
"06/04/2024","23,150.0","22,400.0","23,650.0","22,400.0","31.58M","3.58%"
"06/03/2024","22,350.0","22,000.0","22,350.0","21,950.0","11.78M","2.52%"
"05/31/2024","21,800.0","21,700.0","21,900.0","21,450.0","6.02M","1.16%"
"05/30/2024","21,550.0","21,500.0","21,800.0","21,350.0","7.18M","-1.37%"
"05/29/2024","21,850.0","22,200.0","22,400.0","21,750.0","10.03M","-0.91%"
"05/28/2024","22,050.0","22,150.0","22,150.0","21,900.0","7.26M","0.23%"
"05/27/2024","22,000.0","21,500.0","22,000.0","21,400.0","6.74M","2.09%"
"05/24/2024","21,550.0","22,100.0","22,500.0","21,250.0","14.43M","-3.58%"
"05/23/2024","22,350.0","21,950.0","22,350.0","21,850.0","14.56M","1.82%"
"05/22/2024","21,950.0","21,850.0","22,250.0","21,600.0","15.58M","0.69%"
"05/21/2024","21,800.0","21,800.0","21,950.0","21,500.0","7.11M","-0.68%"
"05/20/2024","21,950.0","22,000.0","22,150.0","21,800.0","11.47M","0.46%"
"05/17/2024","21,850.0","21,500.0","21,850.0","21,300.0","8.79M","1.63%"
"05/16/2024","21,500.0","21,550.0","21,700.0","21,450.0","11.87M","1.42%"
"05/15/2024","21,200.0","20,900.0","21,400.0","20,900.0","10.13M","1.68%"
"05/14/2024","20,850.0","21,100.0","21,200.0","20,800.0","5.14M","-0.71%"
"05/13/2024","21,000.0","20,700.0","21,200.0","20,700.0","11.01M","1.69%"
"05/10/2024","20,650.0","20,450.0","20,750.0","20,250.0","6.80M","1.23%"
"05/09/2024","20,400.0","20,900.0","21,050.0","20,400.0","8.71M","-1.21%"
"05/08/2024","20,650.0","20,400.0","20,950.0","20,100.0","7.92M","0.73%"
"05/07/2024","20,500.0","20,500.0","20,700.0","20,300.0","5.95M","0.49%"
