"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","21,800.0","21,700.0","21,900.0","21,450.0","6.02M","1.16%"
"05/30/2024","21,550.0","21,500.0","21,800.0","21,350.0","7.18M","-1.37%"
"05/29/2024","21,850.0","22,200.0","22,400.0","21,750.0","10.03M","-0.91%"
"05/28/2024","22,050.0","22,150.0","22,150.0","21,900.0","7.26M","0.23%"
"05/27/2024","22,000.0","21,500.0","22,000.0","21,400.0","6.74M","2.09%"
"05/24/2024","21,550.0","22,100.0","22,500.0","21,250.0","14.43M","-3.58%"
"05/23/2024","22,350.0","21,950.0","22,350.0","21,850.0","14.56M","1.82%"
"05/22/2024","21,950.0","21,850.0","22,250.0","21,600.0","15.58M","0.69%"
"05/21/2024","21,800.0","21,800.0","21,950.0","21,500.0","7.11M","-0.68%"
"05/20/2024","21,950.0","22,000.0","22,150.0","21,800.0","11.47M","0.46%"
"05/17/2024","21,850.0","21,500.0","21,850.0","21,300.0","8.79M","1.63%"
"05/16/2024","21,500.0","21,550.0","21,700.0","21,450.0","11.87M","1.42%"
"05/15/2024","21,200.0","20,900.0","21,400.0","20,900.0","10.13M","1.68%"
"05/14/2024","20,850.0","21,100.0","21,200.0","20,800.0","5.14M","-0.71%"
"05/13/2024","21,000.0","20,700.0","21,200.0","20,700.0","11.01M","1.69%"
"05/10/2024","20,650.0","20,450.0","20,750.0","20,250.0","6.80M","1.23%"
"05/09/2024","20,400.0","20,900.0","21,050.0","20,400.0","8.71M","-1.21%"
"05/08/2024","20,650.0","20,400.0","20,950.0","20,100.0","7.92M","0.73%"
"05/07/2024","20,500.0","20,500.0","20,700.0","20,300.0","5.95M","0.49%"
"05/06/2024","20,400.0","20,300.0","20,600.0","20,100.0","6.78M","2.00%"
"05/03/2024","20,000.0","20,000.0","20,250.0","19,850.0","6.73M","1.01%"
"05/02/2024","19,800.0","19,400.0","19,900.0","19,350.0","3.91M","2.06%"
"04/26/2024","19,400.0","19,400.0","19,700.0","19,250.0","3.70M","-1.02%"
"04/25/2024","19,600.0","19,700.0","19,700.0","19,400.0","3.27M","-0.25%"
"04/24/2024","19,650.0","19,500.0","19,900.0","19,300.0","6.09M","3.42%"
"04/23/2024","19,000.0","19,682.1","19,682.1","19,000.0","5.71M","-3.47%"
"04/22/2024","19,682.1","19,389.7","19,730.8","19,292.3","6.30M","3.33%"
"04/19/2024","19,048.7","19,243.6","19,682.1","18,902.6","13.12M","-2.25%"
"04/17/2024","19,487.2","20,461.5","20,461.5","19,487.2","7.27M","-3.61%"
"04/16/2024","20,217.9","20,753.8","20,802.6","19,633.3","14.29M","-2.58%"
"04/15/2024","20,753.8","22,312.8","22,459.0","20,753.8","19.52M","-6.99%"
"04/12/2024","22,312.8","22,410.3","22,605.1","22,166.7","7.55M","0.00%"
"04/11/2024","22,312.8","21,923.1","22,800.0","21,825.6","11.74M","1.10%"
"04/10/2024","22,069.2","22,410.3","22,459.0","22,069.2","5.24M","-0.88%"
"04/09/2024","22,264.1","22,069.2","22,361.5","22,069.2","3.99M","1.11%"
"04/08/2024","22,020.5","22,069.2","22,410.3","21,923.1","5.44M","0.00%"
"04/05/2024","22,020.5","22,361.5","22,507.7","22,020.5","14.84M","-2.59%"
"04/04/2024","22,605.1","22,946.2","23,043.6","22,605.1","10.49M","-1.90%"
"04/03/2024","23,043.6","23,530.8","23,579.5","22,994.9","9.88M","-2.07%"
"04/02/2024","23,530.8","22,800.0","23,530.8","22,702.6","16.39M","2.33%"
"04/01/2024","22,994.9","22,994.9","23,189.7","22,702.6","12.15M","-0.21%"
"03/29/2024","23,043.6","23,433.3","23,482.1","23,043.6","9.99M","-1.66%"
"03/28/2024","23,433.3","23,579.5","23,579.5","23,141.0","13.64M","-0.21%"
"03/27/2024","23,482.1","23,384.6","24,017.9","23,287.2","27.37M","2.55%"
"03/26/2024","22,897.4","22,215.4","22,897.4","22,215.4","11.52M","2.17%"
"03/25/2024","22,410.3","22,848.7","23,141.0","22,312.8","14.82M","-1.07%"
"03/22/2024","22,653.8","22,264.1","22,848.7","22,117.9","31.32M","2.42%"
"03/21/2024","22,117.9","21,923.1","22,264.1","21,728.2","14.86M","1.57%"
"03/20/2024","21,776.9","21,776.9","21,874.4","21,533.3","6.39M","0.68%"
"03/19/2024","21,630.8","21,143.6","22,215.4","20,948.7","17.29M","2.54%"
"03/18/2024","21,094.9","21,630.8","21,776.9","20,364.1","16.32M","-2.04%"
"03/15/2024","21,533.3","21,630.8","22,117.9","21,484.6","12.99M","-0.67%"
"03/14/2024","21,679.5","22,117.9","22,117.9","21,533.3","9.75M","-1.55%"
"03/13/2024","22,020.5","21,435.9","22,117.9","21,289.7","11.28M","3.43%"
"03/12/2024","21,289.7","21,338.5","21,484.6","21,289.7","11.65M","-0.46%"
"03/11/2024","21,387.2","21,825.6","21,874.4","21,338.5","10.56M","-2.01%"
"03/08/2024","21,825.6","22,312.8","22,410.3","21,776.9","17.37M","-1.97%"
"03/07/2024","22,264.1","22,312.8","22,507.7","22,166.7","9.24M","-0.44%"
"03/06/2024","22,361.5","22,897.4","22,897.4","22,069.2","11.58M","-2.34%"
"03/05/2024","22,897.4","22,848.7","23,092.3","22,605.1","11.63M","0.21%"
"03/04/2024","22,848.7","22,751.3","23,189.7","22,507.7","19.03M","1.74%"
"03/01/2024","22,459.0","22,117.9","22,507.7","22,069.2","9.53M","1.32%"
"02/29/2024","22,166.7","22,361.5","22,507.7","22,020.5","9.69M","-0.65%"
"02/28/2024","22,312.8","22,410.3","22,556.4","22,117.9","8.26M","0.22%"
"02/27/2024","22,264.1","21,971.8","22,702.6","21,923.1","16.21M","1.78%"
"02/26/2024","21,874.4","21,582.1","21,923.1","21,533.3","8.02M","1.35%"
