"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","24,400.0","24,500.0","24,700.0","24,300.0","4.89M","0.21%"
"05/30/2024","24,350.0","24,400.0","24,650.0","24,150.0","6.99M","-1.62%"
"05/29/2024","24,750.0","25,250.0","25,600.0","24,750.0","8.00M","-1.20%"
"05/28/2024","25,050.0","25,250.0","25,250.0","24,850.0","4.43M","0.60%"
"05/27/2024","24,900.0","24,600.0","24,900.0","24,600.0","4.31M","0.40%"
"05/24/2024","24,800.0","25,600.0","25,800.0","24,150.0","12.11M","-3.13%"
"05/23/2024","25,600.0","24,800.0","25,600.0","24,700.0","8.42M","2.81%"
"05/22/2024","24,900.0","25,100.0","25,350.0","24,550.0","8.62M","-0.40%"
"05/21/2024","25,000.0","25,050.0","25,150.0","24,700.0","7.03M","-0.79%"
"05/20/2024","25,200.0","25,200.0","25,700.0","24,900.0","11.40M","1.61%"
"05/17/2024","24,800.0","24,600.0","24,800.0","24,200.0","6.19M","1.02%"
"05/16/2024","24,550.0","24,800.0","24,950.0","24,400.0","5.05M","0.20%"
"05/15/2024","24,500.0","24,050.0","24,700.0","24,050.0","7.61M","1.87%"
"05/14/2024","24,050.0","24,100.0","24,300.0","23,900.0","3.52M","0.21%"
"05/13/2024","24,000.0","24,000.0","24,500.0","23,800.0","7.36M","0.42%"
"05/10/2024","23,900.0","23,900.0","23,900.0","23,350.0","4.56M","0.63%"
"05/09/2024","23,750.0","24,000.0","24,050.0","23,550.0","4.59M","0.00%"
"05/08/2024","23,750.0","23,500.0","24,150.0","22,950.0","8.65M","0.85%"
"05/07/2024","23,550.0","23,400.0","23,800.0","23,200.0","6.17M","0.64%"
"05/06/2024","23,400.0","23,200.0","23,750.0","22,950.0","7.37M","2.63%"
"05/03/2024","22,800.0","22,800.0","23,200.0","22,600.0","5.92M","0.44%"
"05/02/2024","22,700.0","22,200.0","22,800.0","21,850.0","4.19M","3.65%"
"04/26/2024","21,900.0","21,800.0","22,400.0","21,550.0","4.58M","-0.45%"
"04/25/2024","22,000.0","22,350.0","22,400.0","21,800.0","4.57M","-1.57%"
"04/24/2024","22,350.0","21,750.0","22,500.0","21,650.0","6.44M","4.93%"
"04/23/2024","21,300.0","22,900.0","22,900.0","21,300.0","8.11M","-6.78%"
"04/22/2024","22,850.0","22,500.0","22,900.0","22,250.0","5.58M","4.10%"
"04/19/2024","21,950.0","22,500.0","23,200.0","21,950.0","12.11M","-4.57%"
"04/17/2024","23,000.0","23,800.0","24,100.0","23,000.0","8.46M","-2.75%"
"04/16/2024","23,650.0","24,050.0","24,250.0","22,900.0","10.34M","-1.66%"
"04/15/2024","24,050.0","25,700.0","26,350.0","24,050.0","19.27M","-6.96%"
"04/12/2024","25,850.0","25,900.0","25,950.0","25,600.0","6.56M","0.39%"
"04/11/2024","25,750.0","24,400.0","25,950.0","24,400.0","9.93M","3.83%"
"04/10/2024","24,800.0","25,200.0","25,200.0","24,800.0","3.05M","-1.20%"
"04/09/2024","25,100.0","24,600.0","25,100.0","24,600.0","3.88M","2.03%"
"04/08/2024","24,600.0","24,500.0","25,000.0","24,350.0","4.89M","0.61%"
"04/05/2024","24,450.0","24,800.0","25,150.0","24,450.0","10.30M","-2.78%"
"04/04/2024","25,150.0","25,350.0","25,600.0","25,150.0","6.78M","-1.37%"
"04/03/2024","25,500.0","26,250.0","26,250.0","25,500.0","8.56M","-2.49%"
"04/02/2024","26,150.0","25,500.0","26,200.0","25,200.0","10.51M","1.55%"
"04/01/2024","25,750.0","25,550.0","25,750.0","25,300.0","7.18M","0.39%"
"03/29/2024","25,650.0","26,050.0","26,100.0","25,600.0","6.19M","-1.72%"
"03/28/2024","26,100.0","26,100.0","26,200.0","25,750.0","6.88M","0.38%"
"03/27/2024","26,000.0","26,450.0","26,750.0","25,900.0","11.72M","0.00%"
"03/26/2024","26,000.0","25,300.0","26,000.0","25,000.0","7.79M","2.77%"
"03/25/2024","25,300.0","25,600.0","26,300.0","25,100.0","11.82M","-0.78%"
"03/22/2024","25,500.0","25,600.0","25,900.0","24,850.0","17.50M","0.59%"
"03/21/2024","25,350.0","25,350.0","26,150.0","25,100.0","16.71M","0.80%"
"03/20/2024","25,150.0","25,200.0","25,200.0","24,800.0","7.79M","-0.20%"
"03/19/2024","25,200.0","23,950.0","25,350.0","23,650.0","29.22M","6.33%"
"03/18/2024","23,700.0","24,650.0","24,700.0","22,900.0","10.74M","-3.07%"
"03/15/2024","24,450.0","24,000.0","24,700.0","23,750.0","10.66M","1.66%"
"03/14/2024","24,050.0","24,300.0","24,350.0","23,900.0","6.97M","-0.62%"
"03/13/2024","24,200.0","23,500.0","24,400.0","23,450.0","10.83M","2.98%"
"03/12/2024","23,500.0","23,600.0","23,750.0","23,500.0","6.01M","-0.42%"
"03/11/2024","23,600.0","23,950.0","23,950.0","23,450.0","6.99M","-1.46%"
"03/08/2024","23,950.0","24,700.0","24,700.0","23,950.0","13.92M","-2.44%"
"03/07/2024","24,550.0","24,600.0","24,750.0","24,300.0","7.82M","-0.20%"
"03/06/2024","24,600.0","24,650.0","24,750.0","24,200.0","8.10M","-0.20%"
"03/05/2024","24,650.0","24,500.0","24,900.0","24,300.0","11.43M","0.82%"
"03/04/2024","24,450.0","24,400.0","24,950.0","24,300.0","16.30M","1.24%"
"03/01/2024","24,150.0","24,000.0","24,200.0","23,800.0","5.94M","0.84%"
"02/29/2024","23,950.0","24,250.0","24,250.0","23,800.0","8.67M","-0.83%"
"02/28/2024","24,150.0","24,100.0","24,300.0","23,900.0","6.53M","0.21%"
"02/27/2024","24,100.0","23,850.0","24,550.0","23,800.0","11.22M","1.69%"
"02/26/2024","23,700.0","23,350.0","23,850.0","23,250.0","7.55M","1.50%"
"02/23/2024","23,350.0","23,850.0","24,100.0","23,350.0","10.10M","-1.89%"
"02/22/2024","23,800.0","24,050.0","24,200.0","23,800.0","7.75M","-1.04%"
"02/21/2024","24,050.0","24,450.0","24,450.0","24,000.0","8.48M","-1.03%"
"02/20/2024","24,300.0","24,550.0","24,550.0","24,250.0","6.17M","-0.61%"
"02/19/2024","24,450.0","24,700.0","25,000.0","24,150.0","11.08M","-0.61%"
"02/16/2024","24,600.0","24,750.0","24,900.0","24,550.0","5.65M","-0.61%"
"02/15/2024","24,750.0","24,700.0","25,100.0","24,500.0","8.19M","1.64%"
"02/07/2024","24,350.0","24,400.0","24,500.0","24,250.0","4.39M","0.41%"
"02/06/2024","24,250.0","24,400.0","24,600.0","24,250.0","6.22M","-0.21%"
"02/05/2024","24,300.0","24,350.0","24,700.0","24,250.0","10.44M","0.21%"
"02/02/2024","24,250.0","23,800.0","24,500.0","23,800.0","7.90M","1.04%"
"02/01/2024","24,000.0","24,150.0","24,350.0","23,900.0","8.92M","-0.83%"
"01/31/2024","24,200.0","24,850.0","24,850.0","24,200.0","19.54M","-3.20%"
"01/30/2024","25,000.0","24,700.0","25,050.0","24,500.0","6.77M","1.01%"
"01/29/2024","24,750.0","25,400.0","25,500.0","24,750.0","9.14M","-2.56%"
