Date,Price,Open,High,Low,Vol.,Change %
6/7/2024,25650.00,"26,000.00","26,000.00","25,400.00",1.80M,-0.19%
6/6/2024,25700.00,"25,600.00","26,250.00","25,400.00",7.36M,0.78%
6/5/2024,25500.00,"25,700.00","25,950.00","25,350.00",6.11M,0.00%
6/4/2024,25500.00,"25,000.00","26,200.00","24,950.00",15.69M,2.62%
6/3/2024,24850.00,"24,750.00","25,000.00","24,550.00",4.36M,1.84%
5/31/2024,24400.00,"24,500.00","24,700.00","24,300.00",4.89M,0.21%
5/30/2024,24350.00,"24,400.00","24,650.00","24,150.00",6.99M,-1.62%
5/29/2024,24750.00,"25,250.00","25,600.00","24,750.00",8.00M,-1.20%
5/28/2024,25050.00,"25,250.00","25,250.00","24,850.00",4.43M,0.60%
5/27/2024,24900.00,"24,600.00","24,900.00","24,600.00",4.31M,0.40%
5/24/2024,24800.00,"25,600.00","25,800.00","24,150.00",12.11M,-3.13%
5/23/2024,25600.00,"24,800.00","25,600.00","24,700.00",8.42M,2.81%
5/22/2024,24900.00,"25,100.00","25,350.00","24,550.00",8.62M,-0.40%
5/21/2024,25000.00,"25,050.00","25,150.00","24,700.00",7.03M,-0.79%
5/20/2024,25200.00,"25,200.00","25,700.00","24,900.00",11.40M,1.61%
5/17/2024,24800.00,"24,600.00","24,800.00","24,200.00",6.19M,1.02%
5/16/2024,24550.00,"24,800.00","24,950.00","24,400.00",5.05M,0.20%
5/15/2024,24500.00,"24,050.00","24,700.00","24,050.00",7.61M,1.87%
5/14/2024,24050.00,"24,100.00","24,300.00","23,900.00",3.52M,0.21%
5/13/2024,24000.00,"24,000.00","24,500.00","23,800.00",7.36M,0.42%
5/10/2024,23900.00,"23,900.00","23,900.00","23,350.00",4.56M,0.63%
5/9/2024,23750.00,"24,000.00","24,050.00","23,550.00",4.59M,0.00%
5/8/2024,23750.00,"23,500.00","24,150.00","22,950.00",8.65M,0.85%
5/7/2024,23550.00,"23,400.00","23,800.00","23,200.00",6.17M,0.64%
