Date;Price;Open;High;Low;Vol.;Change %
03/01/2024;23.050;22.700;23.100;22.650;9.53M;1,32%
02/29/2024;22.750;22.950;23.100;22.600;9.69M;-0,66%
02/28/2024;22.900;23.000;23.150;22.700;8.26M;0,22%
02/27/2024;22.850;22.550;23.300;22.500;16.21M;1,78%
02/26/2024;22.450;22.150;22.500;22.100;8.02M;0,45%
02/23/2024;22.350;22.600;22.850;22.150;12.86M;-0,89%
02/22/2024;22.550;22.700;22.800;22.550;9.09M;-0,66%
02/21/2024;22.700;23.050;23.100;22.600;14.28M;-1,52%
02/20/2024;23.050;23.300;23.350;23.000;8.64M;-1,07%
02/19/2024;23.300;23.350;23.650;22.900;15.25M;-0,21%
02/16/2024;23.350;23.400;23.500;23.200;7.21M;-0,21%
02/15/2024;23.400;23.450;23.900;23.300;11.81M;0,65%
02/07/2024;23.250;23.100;23.350;23.100;7.67M;0,65%
02/06/2024;23.100;23.150;23.400;23.100;7.14M;0,00%
02/05/2024;23.100;23.000;23.200;22.900;6.95M;0,87%
02/02/2024;22.900;22.900;23.300;22.800;10.09M;0,00%
02/01/2024;22.900;22.700;22.950;22.650;7.38M;0,00%
01/31/2024;22.900;22.950;23.150;22.600;13.00M;-1,08%
01/30/2024;23.150;22.850;23.150;22.600;9.39M;1,31%
01/29/2024;22.850;23.450;23.500;22.800;22.50M;-2,97%
01/26/2024;23.550;23.150;23.700;23.150;14.84M;1,95%
01/25/2024;23.100;22.900;23.300;22.650;12.70M;1,09%
01/24/2024;22.850;22.850;23.050;22.800;10.34M;0,00%
01/23/2024;22.850;23.100;23.200;22.800;6.17M;-0,87%
01/22/2024;23.050;22.600;23.300;22.550;25.15M;2,44%
01/19/2024;22.500;22.750;22.750;22.350;8.76M;-0,22%
01/18/2024;22.550;22.650;22.950;22.400;12.37M;-0,22%
01/17/2024;22.600;22.950;23.000;22.450;12.90M;-1,31%
01/16/2024;22.900;21.600;22.900;21.450;19.79M;6,02%
01/15/2024;21.600;21.850;22.000;21.600;5.88M;-0,46%
01/12/2024;21.700;21.800;22.100;21.500;12.53M;-1,81%
01/11/2024;22.100;21.800;22.150;21.800;10.39M;1,84%
01/10/2024;21.700;21.900;21.950;21.300;19.60M;-0,91%
01/09/2024;21.900;22.350;22.400;21.800;16.85M;-2,01%
01/08/2024;22.350;22.450;22.600;22.250;10.81M;0,00%
01/05/2024;22.350;22.450;22.550;22.150;9.18M;-0,45%
01/04/2024;22.450;22.650;22.850;22.450;12.78M;-0,88%
01/03/2024;22.650;22.100;22.650;22.050;7.15M;2,26%
01/02/2024;22.150;23.000;23.000;22.150;12.29M;-2,85%
12/29/2023;22.800;22.700;22.800;22.550;12.87M;0,44%
12/28/2023;22.700;22.450;22.800;22.400;11.73M;1,11%
12/27/2023;22.450;22.150;22.600;22.150;15.15M;1,58%
12/26/2023;22.100;21.950;22.250;21.850;7.15M;0,68%
12/25/2023;21.950;21.650;22.400;21.650;10.85M;1,62%
12/22/2023;21.600;21.750;21.900;21.400;5.30M;-0,69%
12/21/2023;21.750;21.300;21.900;21.250;9.07M;1,16%
12/20/2023;21.500;21.650;21.650;21.300;4.47M;0,00%
12/19/2023;21.500;20.850;21.500;20.800;8.09M;3,61%
12/18/2023;20.750;20.850;21.150;20.750;5.98M;-0,48%
12/15/2023;20.850;21.000;21.300;20.650;9.14M;-0,71%
12/14/2023;21.000;21.300;21.350;20.900;10.13M;-0,47%
12/13/2023;21.100;21.800;22.050;21.000;12.85M;-2,99%
12/12/2023;21.750;21.800;22.100;21.700;6.33M;0,23%
12/11/2023;21.700;22.100;22.200;21.600;8.58M;-1,81%
12/08/2023;22.100;22.400;23.150;22.000;17.01M;-1,56%
12/07/2023;22.450;22.750;22.800;21.500;22.30M;-1,10%
12/06/2023;22.700;22.400;22.800;22.100;10.34M;1,79%
12/05/2023;22.300;22.250;22.600;22.150;12.46M;0,22%
12/04/2023;22.250;22.200;22.800;22.000;20.80M;2,30%
12/01/2023;21.750;21.600;21.800;21.200;9.23M;1,40%
11/30/2023;21.450;21.750;22.000;21.400;10.59M;-1,38%
11/29/2023;21.750;21.300;21.800;21.150;11.68M;2,11%
11/28/2023;21.300;20.700;21.300;20.150;12.19M;3,15%
11/27/2023;20.650;21.000;21.150;20.550;7.22M;-1,43%
11/24/2023;20.950;20.800;20.950;19.900;17.24M;2,20%
11/23/2023;20.500;22.000;22.100;20.500;19.11M;-6,82%
11/22/2023;22.000;21.850;22.100;21.650;12.05M;0,46%
11/21/2023;21.900;22.000;22.650;21.800;15.00M;0,92%
11/20/2023;21.700;20.950;21.750;20.900;10.99M;1,17%
11/17/2023;21.450;21.700;22.000;21.000;19.11M;-0,69%
11/16/2023;21.600;21.400;21.600;21.050;8.56M;0,47%
11/15/2023;21.500;22.400;22.400;21.450;16.29M;-0,92%
11/14/2023;21.700;21.800;21.900;21.050;13.58M;0,93%
11/13/2023;21.500;20.650;21.900;20.650;20.39M;4,12%
11/10/2023;20.650;20.550;21.450;20.500;15.61M;-0,72%
11/09/2023;20.800;21.300;21.500;20.800;13.84M;-1,42%
11/08/2023;21.100;19.650;21.100;19.600;17.84M;6,84%
11/07/2023;19.750;19.800;20.100;19.600;11.77M;-1,25%
11/06/2023;20.000;19.550;20.000;19.350;13.69M;2,83%
11/03/2023;19.450;19.000;19.500;18.650;14.97M;2,91%
11/02/2023;18.900;18.100;18.900;17.850;14.50M;6,78%
11/01/2023;17.700;16.950;17.700;16.850;6.06M;4,12%
10/31/2023;17.000;17.600;17.650;16.800;7.86M;-1,16%
10/30/2023;17.200;17.600;18.050;17.200;6.75M;-2,55%
10/27/2023;17.650;16.700;17.650;16.250;9.35M;6,33%
10/26/2023;16.600;17.350;17.400;16.600;13.91M;-6,74%
10/25/2023;17.800;17.850;18.300;17.750;6.12M;0,56%
10/24/2023;17.700;17.750;17.900;17.250;4.60M;0,00%
10/23/2023;17.700;17.800;18.100;17.350;7.80M;-0,56%
10/20/2023;17.800;17.000;17.800;16.950;7.57M;4,71%
10/19/2023;17.000;17.000;17.300;16.100;10.21M;0,00%
10/18/2023;17.000;18.200;18.250;16.750;19.48M;-5,56%
10/17/2023;18.000;18.900;19.300;18.000;6.70M;-4,26%
10/16/2023;18.800;19.650;19.750;18.800;7.20M;-4,33%
10/13/2023;19.650;19.350;19.700;19.050;5.77M;-0,25%
10/12/2023;19.700;19.900;20.250;19.400;6.72M;0,00%
10/11/2023;19.700;19.350;19.700;19.150;6.70M;2,07%
10/10/2023;19.300;19.600;19.800;19.300;6.95M;-0,26%
10/09/2023;19.350;18.700;19.500;18.700;7.87M;3,20%
10/06/2023;18.750;18.350;19.000;17.900;7.73M;2,18%
10/05/2023;18.350;19.200;19.300;18.350;7.02M;-3,93%
10/04/2023;19.100;18.000;19.600;18.000;12.35M;2,14%
10/03/2023;18.700;19.600;19.700;18.700;18.60M;-6,97%
10/02/2023;20.100;20.150;20.500;19.900;6.92M;0,50%
09/29/2023;20.000;20.500;20.550;19.850;8.45M;-1,48%
09/28/2023;20.300;19.700;20.450;19.400;11.07M;1,50%
09/27/2023;20.000;19.100;20.000;18.700;11.84M;5,26%
09/26/2023;19.000;19.900;20.200;19.000;20.32M;-5,24%
09/25/2023;20.050;21.200;21.600;20.050;17.10M;-6,96%
09/22/2023;21.550;22.450;22.600;21.550;34.49M;-6,91%
09/21/2023;23.150;23.000;23.900;22.900;17.85M;0,00%
09/20/2023;23.150;23.000;23.250;22.850;8.28M;0,65%
09/19/2023;23.000;22.000;23.000;21.400;18.39M;5,50%
09/18/2023;21.800;21.400;22.100;21.400;12.48M;1,87%
09/15/2023;21.400;21.400;22.000;21.000;10.74M;0,47%
09/14/2023;21.300;22.000;22.000;21.000;13.60M;-3,18%
09/13/2023;22.000;22.000;22.850;21.600;16.80M;0,69%
09/12/2023;21.850;21.200;21.850;20.900;15.98M;2,58%
09/11/2023;21.300;22.300;22.300;21.300;15.96M;-3,18%
09/08/2023;22.000;21.500;22.300;21.450;17.24M;2,33%
09/07/2023;21.500;21.550;21.800;21.350;14.74M;0,94%
09/06/2023;21.300;19.950;21.300;19.600;24.08M;6,77%
09/05/2023;19.950;20.150;20.500;19.750;9.75M;-0,25%
08/31/2023;20.000;19.950;20.200;19.700;11.67M;1,52%
08/30/2023;19.700;19.150;19.800;19.050;10.67M;3,14%
08/29/2023;19.100;19.300;19.500;18.900;7.68M;-0,52%
08/28/2023;19.200;18.650;19.300;18.650;13.01M;3,23%
08/25/2023;18.600;18.800;18.900;18.550;10.09M;-0,80%
08/24/2023;18.750;18.300;18.750;18.050;8.28M;2,46%
08/23/2023;18.300;18.650;18.650;18.300;5.14M;-0,54%
08/22/2023;18.400;18.800;18.800;17.500;10.24M;-0,27%
08/21/2023;18.450;18.600;18.850;17.950;11.83M;-0,81%
08/18/2023;18.600;19.850;19.900;18.600;27.42M;-7,00%
08/17/2023;20.000;20.500;20.750;20.000;15.61M;-1,96%
08/16/2023;20.400;20.600;20.600;20.200;7.04M;-0,97%
08/15/2023;20.600;20.200;20.700;19.900;15.15M;2,49%
08/14/2023;20.100;19.950;20.350;19.950;11.48M;1,26%
08/11/2023;19.850;18.850;19.900;18.650;25.03M;5,59%
08/10/2023;18.800;19.000;19.200;18.750;7.96M;-1,57%
08/09/2023;19.100;18.600;19.200;18.450;18.01M;2,14%
08/08/2023;18.700;19.100;19.300;18.650;13.51M;-1,58%
08/07/2023;19.000;19.150;19.200;18.800;11.91M;0,53%
08/04/2023;18.900;18.750;18.900;18.500;9.83M;1,07%
08/03/2023;18.700;18.800;18.800;18.300;15.59M;-0,53%
08/02/2023;18.800;18.400;18.900;18.350;11.52M;1,08%
08/01/2023;18.600;19.200;19.200;18.600;15.38M;-3,38%
07/31/2023;19.250;19.100;19.250;18.500;23.75M;-0,26%
07/28/2023;19.300;18.750;19.300;18.600;21.29M;2,93%
07/27/2023;18.750;18.700;18.800;18.250;16.73M;0,27%
07/26/2023;18.700;18.400;18.850;18.350;14.43M;2,19%
07/25/2023;18.300;18.300;18.700;18.150;15.19M;0,00%
07/24/2023;18.300;18.350;18.550;18.100;12.68M;0,55%
07/21/2023;18.200;17.650;18.300;17.550;19.96M;3,70%
07/20/2023;17.550;17.250;17.600;17.250;11.02M;1,15%
07/19/2023;17.350;17.300;17.500;17.200;13.94M;0,58%
07/18/2023;17.250;17.600;17.600;17.200;15.20M;-2,27%
07/17/2023;17.650;17.900;17.950;17.500;8.73M;-0,56%
07/14/2023;17.750;17.550;18.000;17.500;17.41M;1,43%
07/13/2023;17.500;17.600;17.800;17.450;9.87M;0,29%
07/12/2023;17.450;17.500;17.500;17.200;9.27M;0,00%
07/11/2023;17.450;17.450;17.550;17.300;15.90M;0,00%
07/10/2023;17.450;17.200;17.500;17.100;18.05M;1,45%
07/07/2023;17.200;16.350;17.200;16.250;22.97M;4,88%
07/06/2023;16.400;16.550;16.750;16.200;10.55M;-1,80%
07/05/2023;16.700;16.700;16.900;16.500;18.84M;0,60%
07/04/2023;16.600;16.400;16.600;16.300;9.86M;1,22%
07/03/2023;16.400;16.550;16.600;16.400;5.94M;-0,30%
06/30/2023;16.450;16.400;16.550;16.300;7.42M;0,30%
06/29/2023;16.400;16.900;16.950;16.400;12.39M;-2,38%
06/28/2023;16.800;16.900;17.100;16.700;13.76M;-0,59%
06/27/2023;16.900;17.000;17.050;16.600;14.97M;-0,29%
06/26/2023;16.950;17.100;17.200;16.500;12.39M;-2,31%
06/23/2023;17.350;17.450;17.650;17.250;18.81M;-0,29%
06/22/2023;17.400;17.250;17.550;17.000;24.48M;1,46%
06/21/2023;17.150;16.650;17.150;16.450;20.38M;3,31%
06/20/2023;16.600;16.250;16.600;16.250;6.20M;2,15%
06/19/2023;16.250;16.500;16.550;16.250;8.02M;-1,52%
06/16/2023;16.500;16.700;17.000;16.500;22.53M;-0,30%
06/15/2023;16.550;16.750;16.850;16.350;19.52M;-1,49%
06/14/2023;16.800;17.250;17.250;16.800;14.69M;-2,33%
06/13/2023;17.200;16.600;17.300;16.400;28.86M;4,24%
06/12/2023;16.500;16.550;16.650;16.100;16.53M;-0,30%
06/09/2023;16.550;16.300;16.600;16.250;14.87M;1,22%
06/08/2023;16.350;16.750;16.900;16.350;22.25M;-2,39%
06/07/2023;16.750;16.400;16.900;16.400;28.56M;4,04%
06/06/2023;16.100;15.900;16.200;15.700;18.95M;1,58%
06/05/2023;15.850;15.700;16.000;15.600;24.92M;2,26%
06/02/2023;15.500;15.250;15.700;15.250;15.49M;1,97%
06/01/2023;15.200;15.300;15.350;14.950;15.03M;-1,30%
